Item,Price,Company,Heat,Date
"ADATA Ultimate SU630 2.5"" 3840GB Serial ATA III QLC 3D NAND 520/450MB/s R/W - Delivered @ More Computers",279.0,more computers,198.0,2020-10-15 21:26:10.325727
"Samsung S27R750 27"" The Space - WQHD, 2560x1440, 144Hz, FreeSync, 3 sided Bezelless Monitor - Delivered @ Laptops Direct",200.0,Laptops Direct,375.0,2020-10-15 21:26:10.327717
JBL JR POP Portable Bluetooth Speaker - Red or Pink - @ Currys PC World,9.0,Currys PC World,188.0,2020-10-15 21:26:10.327717
Bowers & Wilkins PX7 Wireless Headphones with Active Noise Cancellation Sold by TVA Tech t/a Electricshop and Fulfilled by Amazon,228.0,Amazon,169.0,2020-10-15 21:26:10.327717
Samsung Galaxy Buds+ Blue Delivered @ Amazon,83.0,Amazon,328.0,2020-10-15 21:26:10.327717
"electriQ 35"" WQHD 100Hz HDR FreeSync Curved UltraWide Gaming Monitor at Laptops Direct",300.0,Laptops Direct,168.0,2020-10-15 21:26:10.327717
"Samsung LS22R350FHUXEN 22"" FHD IPS FreeSync 75Hz Monitor - at CCL/ebay",88.0,eBay,187.0,2020-10-15 21:26:10.327717
GOOGLE Nest WiFi Router - AC 2200 Dual-band at Currys/ebay,104.0,eBay,134.0,2020-10-15 21:26:10.327717
"Google Pixel 4 64GB Black, EE Used B Condition Smartphone - @ CeX",300.0,CeX,231.0,2020-10-15 21:26:10.328715
iTunes Gift Card Currys eBay,77.0,eBay,222.0,2020-10-15 21:26:10.328715
New Xiaomi Mi 10 5G 8GB RAM 256GB Smartphone - Green/Blue - With Code @ Mobile Deals UK / Ebay,494.0,eBay,340.0,2020-10-15 21:26:10.328715
"Sonos Play 1 Black, B grade, 2 year warranty + del from CEX",87.0,CeX,432.0,2020-10-15 21:26:10.328715
Huawei Nova 5t (like new) @ O2 Shop,149.0,O2 Shop,185.0,2020-10-15 21:26:10.328715
"Sony Bravia KD55XH9005 (2020) LED HDR 4K Ultra HD Smart Android TV, 55""HD,+ Vouchers 6 Year guarantee with voucher @ Richer Sounds",974.0,Richer Sounds,287.0,2020-10-15 21:26:10.328715
"LENOVO 7"" Smart Display with Google Assistant - Grey at Currys/ebay with",57.0,eBay,224.0,2020-10-15 21:26:10.328715
SAMSUNG HW-Q950T/XU 9.1.4 Wireless Sound Bar with Dolby Atmos at essential-appliances ebay,950.0,eBay,173.0,2020-10-15 21:26:10.328715
"Samsung S27R750 27"" The Space WQHD 2560x1440 144Hz 3 sided Bezelless Monitor @ Amazon",200.0,Amazon,454.0,2020-10-15 21:26:10.328715
"CCL 4.2GHz AMD Ryzen 5 3600 Bundle - 16GB RAM, ASUS PRIME B450M-A Motherboard - @ CCL ebay",280.0,eBay,245.0,2020-10-15 21:26:10.328715
JBL Charge Essential Portable Bluetooth Speaker Waterproof Aux-in Black - With Code @ Currys / Ebay,90.0,eBay,174.0,2020-10-15 21:26:10.328715
Roku Streaming Stick+ | HD/4K/HDR Streaming Media Player @ Amazon,35.0,Amazon,264.0,2020-10-15 21:26:10.329713
Linksys LGS105 5 Port Desktop Gigabit Unmanaged Network Switch - / non @ Amazon,9.0,Amazon,238.0,2020-10-15 21:26:10.329713
Honor Band 5 Black - @ MyMemory,25.0,MyMemory,209.0,2020-10-15 21:26:10.329713
Apple iPhone XR (64GB) & (128GB) @ Amazon,499.0,Amazon,206.0,2020-10-15 21:26:10.329713
Samsung Galaxy Watch 46mm very good grade Free tracked delivery with royal mail or DHL @ Refurb phone,135.0,Refurb Phone,208.0,2020-10-15 21:26:10.329713
"LG 75UN85006LA 75"" Smart 4K Ultra HD HDR LED TV Google Assistant & Amazon Alexa with at Currys on eBay",949.0,eBay,194.0,2020-10-15 21:26:10.329713
"Garmin Forerunner 45 GPS Running Watch with Garmin Coach Training Plan Support - Lava Red/Black, Large - @ Amazon",109.0,Amazon,228.0,2020-10-15 21:26:10.329713
HUAWEI Watch GT 2 Classic - 46mm Pebble Brown - With Code @ Currys / Ebay,113.0,eBay,179.0,2020-10-15 21:26:10.329713
"Google Pixel 5 5G Smartphone, Android, 8GB RAM,128GB - Claim A Free Pair Of Bose Headphones John Lewis, 2 Year Guarantee",599.0,John Lewis,158.0,2020-10-15 21:26:10.329713
Samsung Galaxy Tab S4 10.5 - Used All Grades Available prices from @ 4Gadgets,200.0,4gadgets,208.0,2020-10-15 21:26:10.330712
ASRock B550M-HDV mATX Motherboard for AMD AM4 CPUs from CCL/Ebay,72.0,eBay,181.0,2020-10-15 21:26:23.692929
RAVPower 30W USB Wall Chargers 3-Port Mains Adapter Plug Power Fast Charge (Prime) / (nP) Sold by RAVPower official & FB Amazon,8.0,Amazon,189.0,2020-10-15 21:26:23.692929
"CORSAIR Carbide Series SPEC-05 ATX Mid-Tower PC Case, with at Currys PC World",40.0,Currys PC World,233.0,2020-10-15 21:26:23.692929
Gigabyte B450M DS3H mATX Motherboard from CCL/Ebay,58.0,eBay,242.0,2020-10-15 21:26:23.693927
"AUKEY USB Wall Charger with 4 ports (3 x 2.4A output, 1x Quick Charge 3.0 enabled) for using @ MingXi Eu / Amazon",13.0,Amazon,283.0,2020-10-15 21:26:23.693927
Nuband Active3 Activity Tracker free click and collect at Argos,15.0,Argos,203.0,2020-10-15 21:26:23.693927
"Dell Inspiron 15 3583 Laptop with Pentium 2.3GHz CPU, Full HD screen and 128GB NVME SSD @ Dell",237.0,Dell,346.0,2020-10-15 21:26:23.693927
Gigabyte B550M AORUS ELITE mATX Motherboard for AMD AM4 CPUs from Ebay / cclcomputers,95.0,eBay,283.0,2020-10-15 21:26:23.693927
Refurbished Panasonic SC-HTB208EBK Compact Wireless Soundbar 2ch 80W Bluetooth Black @ panasinic / ebay,40.0,eBay,155.0,2020-10-15 21:26:23.694926
Google Nest Audio Hands-Free Smart Speaker x2 Bundle for at John Lewis & Partners,150.0,John Lewis,533.0,2020-10-15 21:26:23.694926
AMD Ryzen 9 3950X (16C/32T @ 3.5GHz) AM4 with 24months warranty @ CEX,450.0,CeX,754.0,2020-10-15 21:26:23.694926
"Mpow Wireless Earbuds X3 Active Noise Cancelling w/ 4 mics,Deep bass, 30h Playtime, USB C charge sold by HBH And Fulfilled By Amazon",35.0,Amazon,193.0,2020-10-15 21:26:23.694926
Google Pixel 5 5G plus Claim a pair of Bose QC35 II when you pre-order the new Google Pixel 4a 5G or Pixel 5at CPW,599.0,Carphone Warehouse,275.0,2020-10-15 21:26:23.694926
"Motorola G9 Play Smartphone Android 4GB RAM 6.52""4G LTE SIM Free 64GB - Blue or Green at John Lewis & Partners - 3 year guarantee",140.0,John Lewis,363.0,2020-10-15 21:26:23.694926
(Refurb 1 years warranty) CORSAIR MP510 240GB PCIe M.2 NVMe SSD/Solid State Drive - at Scan,27.0,Scan,324.0,2020-10-15 21:26:23.695959
Huawei Watch GT2 (46mm) - Smartwatch Orange - Delivered @ Amazon,99.0,Amazon,226.0,2020-10-15 21:26:23.695959
Tenda Nova MW5s-3 Gigabit Whole Home Mesh Wi-Fi System Amazon,81.0,Amazon,269.0,2020-10-15 21:26:23.695959
"Little Tikes Tobi Robot Smartwatch for Kids with Cameras, Video, Games, and Activities @ Amazon",34.0,Amazon,168.0,2020-10-15 21:26:23.695959
"Crucial Ballistix RGB BL2K8G36C16U4BL 3600 MHz, DDR4, DRAM, Desktop Gaming Memory Kit, 16GB (8GB x2), CL16, Black @ Amazon",83.0,Amazon,177.0,2020-10-15 21:26:23.695959
Apple AirPods 2nd Generation With Charging Case Wireless In-Ear Headphones White - @ AO / Ebay,118.0,eBay,278.0,2020-10-15 21:26:23.695959
BT Mini Whole Home Wi-Fi - Three Discs @ BT Shop,75.0,BT Shop,394.0,2020-10-15 21:26:23.695959
"electriQ 24"" 4K UHD 60Hz FreeSync HDR Gaming Monitor - with @ buyitdirectdiscounts / ebay",142.0,eBay,277.0,2020-10-15 21:26:23.695959
Refurbished Panasonic DMP-BDT167EB SMART 3D Blu-ray DVD Player Built In USB Playback @ panasonic / ebay,25.0,eBay,155.0,2020-10-15 21:26:23.695959
TCP Smart Wi-Fi HD 1080p camera (with downloadable app) for click & collect (or +£4.95 delivery) @ Robert Dyas,25.0,Robert Dyas,170.0,2020-10-15 21:26:23.695959
Claim a free pair of BOSE QC35 II Headphones with the Google Pixel 5 128GB 5G - @ Argos click & collect,599.0,Argos,779.0,2020-10-15 21:26:23.695959
LG Electronics Ultrawide 29WL50S-B 29-Inch IPS Monitor (2560 x 1080) @ Amazon Prime,176.0,Amazon,127.0,2020-10-15 21:26:23.695959
"LG OLED55GX6LA (2020) OLED HDR 4K Ultra HD Smart TV, 55 inch + gift card, free headphone & Installation @ John Lewis and Partners",1799.0,John Lewis,107.0,2020-10-15 21:26:23.696951
"OnePlus 8 Pro - Smartphone 256GB, 12GB RAM, Dual Sim, Ultramarine Blue (Used) @Amazon Warehouse (Prime)",653.0,Amazon,185.0,2020-10-15 21:26:23.696951
TP-Link Archer C6 AC1200 Gigabit Router @ Amazon (Prime Exclusive Deal),37.0,Amazon,100.0,2020-10-15 21:26:23.696951
"SAMSUNG UE58TU7100KXXU 58"" Smart 4K Ultra HD HDR LED TV - Delivered with @ Currys / eBay",474.0,eBay,380.0,2020-10-15 21:26:23.696951
Sony SEL35F18 E Mount APS-C 35 mm F1.8 Prime Lens - Black (Prime Day) - @Amazon,259.0,Amazon,129.0,2020-10-15 21:26:23.696951
"K&F Concept 62"" Tripod Sold by Zhuoyi-Photo and Fulfilled by Amazon.",45.0,Amazon,127.0,2020-10-15 21:26:23.696951
Oneplus 8T Pop up box bundle (Aquamarine Green 12 GB RAM + 256 GB Storage + Case + Wireless Buds) via OnePlus,649.0,OnePlus,482.0,2020-10-15 21:26:23.696951
Epson Xpression XP-970 A3 All in One Wireless Photo Printer @ Currys,139.0,Currys PC World,277.0,2020-10-15 21:26:23.696951
Corsair Vengeance RGB PRO 32GB (2 x 16GB) DDR4 3600MHz C18 @ Amazon,130.0,Amazon,296.0,2020-10-15 21:26:23.696951
"Xiaomi Amazfit Stratos 2S Smartwatch Leather Strap Sapphire Multisport with GPS, at Amazon Italy",99.0,Amazon Italy,172.0,2020-10-15 21:26:23.696951
Mpow H7 Wireless Headphones Over Ear - Sold by HBH LTD and Fulfilled by Amazon day deal,13.0,Amazon,357.0,2020-10-15 21:26:23.696951
Turtle Beach Stealth 300 Microsoft Xbox One Headset - Black/Green - @ Argos / eBay,33.0,eBay,244.0,2020-10-15 21:26:23.696951
"Realme X50 5G - Smartphone 128GB, 6GB RAM, Dual Sim, Jungle Green @ Amazon warehouse - Used good",242.0,Amazon,206.0,2020-10-15 21:26:23.697951
